City,Rainfall(mm),AQI,Temperature(C),Humidity(%),WeeklyIncome(₹),OrdersPerDay,OnlineHours,IncomeLoss(₹)
Bengaluru,63,154,31,55,5087,22,9,783
Coimbatore,61,160,24,88,4263,22,8,682
Hyderabad,131,199,24,49,5019,15,5,1912
Tiruppur,62,228,34,74,4980,24,8,941
Tiruppur,124,59,26,95,4886,14,4,1498
Trichy,100,140,24,80,4642,17,6,1248
Bengaluru,178,123,33,61,5064,12,4,2081
Madurai,217,296,26,61,4220,8,3,2975
Bengaluru,118,110,33,79,5758,19,7,1398
Madurai,43,141,31,95,4463,25,9,312
Coimbatore,120,167,38,70,4240,17,6,1549
Madurai,171,49,27,73,4499,10,3,2288
Tiruppur,35,276,27,62,4243,24,8,587
Madurai,86,110,34,88,4247,20,6,959
Chennai,134,241,35,72,5290,13,5,1978
Madurai,118,317,30,74,3872,16,5,1809
Madurai,33,200,29,63,3882,26,9,379
Tiruppur,186,269,29,45,4396,12,6,2394
Hyderabad,112,263,29,63,4619,17,5,1632
Trichy,57,40,25,68,4200,22,8,765
Coimbatore,49,275,29,46,4832,26,8,599
Bengaluru,45,320,24,48,5900,22,7,1053
Trichy,171,309,35,56,4610,12,5,2399
Chennai,216,171,30,85,4892,9,5,2775
Chennai,137,133,29,57,5425,15,5,1817
Chennai,103,111,34,84,5008,20,7,1115
Bengaluru,205,97,31,82,5483,8,3,2529
Salem,171,51,30,64,4211,12,4,2177
Trichy,56,145,36,52,4481,25,10,580
Salem,26,137,30,47,3924,28,10,238
Hyderabad,44,172,37,63,5072,23,9,508
Chennai,79,173,37,87,4583,19,7,1158
Tiruppur,209,218,33,74,4884,9,4,2716
Bengaluru,23,261,26,68,5211,24,10,413
Tiruppur,44,91,31,64,4778,24,10,393
Bengaluru,78,314,29,78,5488,23,7,1166
Madurai,72,239,24,86,3865,23,7,997
Coimbatore,66,76,30,47,4545,24,10,668
Chennai,32,185,32,66,5059,26,9,313
Hyderabad,202,150,38,71,4551,6,3,2749
Tiruppur,158,295,25,66,4391,15,7,2070
Hyderabad,123,108,35,89,4664,16,6,1626
Salem,153,63,27,85,4389,15,5,1791
Madurai,48,302,34,87,4551,23,8,894
